Person|English|German
layton_r01|Critical thinking is the key to success!|Kritisches denken ist der Schlüssel zum Erfolg!
layton_r02|Every puzzle has an answer!|Jedes Rätsel hat eine Antwort
layton_r03|Another puzzle solved!|Ein weiteres Rätsel gelöst!
layton_r04|And there we have it!|Da haben wir es!
layton_r05|A true gentleman leaves no puzzle unsolved.|Ein wahrer Gentleman lässt kein Rätsel ungelöst.
layton_r06|Ha, wonderful!|Ha, wunderbar!
layton_r07|Just as I suspected.|Genauso wie ich es vermutete
layton_r08|Few things satisfy like a puzzle solved!|Wenige Dinge befriedigen, darunter ein gelöstes Rätsel!
layton_r09|Well that's settled!|,Na, das ist abgehakt!
layton_r10|I love the thrill of a good solution!|Ich liebe den Nervenkitzel einer guten Lösung!
layton_r11|A gentleman leaves no puzzle undone!|Ein Gentleman lässt kein Rätsel ungelöst!
layton_r12|No puzzle is without an answer!|Kein Puzzle ist ohne Antwort!
layton_r13|Puzzles are made to be solved!|Rätsel sind zum Lösen gemacht!
layton_r14|There is no puzzle without a solution.|Es gibt kein Rätsel ohne Lösung.
layton_r15|An excellent puzzle!|Ein Exzellentes Rätsel!
layton_r16|Solving puzzles is truly a pleasure.|Rätsel zu lösen ist wahrlich ein Vergnügen.
layton_r17|That was a challenge, to be sure.,|Das war gewiss eine Herausforderung.
layton_r18|Puzzle solving is a most gentlemanly pursuit.|Rätsel zu lösen ist ein sehr vornehmes Ziel.
layton_r19|Excellent, if I do say so myself.|Exzellent, wenn ich es selbst so sagen darf.
layton_r20|Critical thinking is the key to success!|Kritisches denken ist der Schlüssel zum Erfolg!
layton_r21|I think I'm in the mood for another!|Ich glaube ich habe Lust auf ein Weiteres!
layton_r22|And there we have it!|Und da haben wirs!
layton_r23|A satisfying puzzle indeed!|Wahrlich, ein zufriedenstellendes Rätsel!
layton_r24|You should expect no less from a gentleman.|Du solltest nicht weniger von einem Gentleman erwarten.
layton_r25|That was indeed an intriguing puzzle!|Das war wahrlich ein faszinierendes Rätsel!
layton_r26|Come what may, puzzles are there to be solved.|Was auch immer kommen mag, Rätsel sind da um gelöst zu werden.
layton_r27|Ah, the joy of solving puzzles!|Ah, die Freude des Rätsellösens!
layton_r28|Every puzzle has an answer!|Jedes Rätsel hat eine Lösung!
layton_r29|No objections!|Kein Widerspruch!
layton_w01|A fine puzzle for a gentleman!|Ein feines Rätsel für einen Gentleman!
layton_w02|Ah, I suppose I thought wrong...|Oh, ich nehme an ich habe falsch kombiniert...
layton_w03|Oh, how embarrassing!|Oh, wie peinlich!
layton_w04|Well, I suppose that's one possibility eliminated.|Nun, das wäre eine Möglichkeit weniger.
layton_w05|Ah, well, I suppose you can't win them all...|Ah, nun, ich nehme an man kann nicht immer richtig liegen...
layton_w06|Oh, my, this one is quite formidable...|Oh, diese Rätsel ist recht beachtlich...
layton_w07|Hmm, I must have overlooked something...|Hmm, ich muss etwas übersehen haben...
layton_w08|I was sure my logic was sound.|Ich war sicher mein Gedankengang war vernünftig
layton_w09|Well, if at first you don't succeed...|Nun, wenn man es das erste Mal nicht schafft...
layton_w10|It appears as though I've missed something.|Es hat den Anschein, als ob ich etwas übersehen hätte.
layton_w11|What could have gone wrong here?|Was könnte hier schief gelaufen sein?
layton_w12|A little more thought is in order...|Ein weiterer Gedanke würde mehr Ordnung schaffen...
layton_w13|Let me reconsider that.|Lass mich das noch einmal überdenken.
layton_w14|Perhaps I need another look.|Möglicherweise muss ich nochmal rüberschauen.
layton_w15|I'm not certain what happened here.|Ich bin nicht sicher was hier passiert ist.
layton_w16|That's unfortunate...|Das ist bedauerlich...
layton_w17|Well, that won't do at all...|Na, das wird nicht klappen...
layton_w18|A tough nut to crack...|Eine harte Nuss...
layton_w19|Oh dear...|Oh je...
layton_w20|I shall have to redouble my efforts...|Ich werde mich wohl doppelt soviel anstrengen müssen...
layton_w21|I must have been careless...|Ich muss unaufmerksam gewesen sein...
layton_w22|I better think this over again.|Lass mich das lieber nochmal überdenken.
layton_w23|Failure only makes us wiser!|Misserfolge lassen uns nur weiser werden!
layton_w24|Frankly, I'm ashamed.|Ehrlich gesagt, ich schäme mich.
layton_w25|When it comes to puzzles, there's still much to be learned.|Wenn es um Rätsel geht gibt es noch viel zu lernen.
layton_w26|This is not as easy as it appears...|Das ist nicht so einfach wie es scheint...
layton_w27|An ingenious puzzle, but a tricky one...|Ein ausgeklügeltes Rätsel, aber sehr raffiniert...
luke_r01|Professor, I've solved it!|Professor, ich habe es gelöst!
luke_r02|Layton's apprentice saves the day!|Laytons Lehrling rettet den Tag!
luke_r03|I did it, yes!|Ich habe es geschafft, ja!
luke_r04|Piece of cake!|Das war doch ein Klacks!
luke_r05|That was almost too easy!|Das war fast zu einfach!
luke_r06|Layton's apprentice strikes again!|Laytons Lehrling schlägt wieder zu! 
luke_r07|I knew it!|Ich wusste es!
luke_r08|No puzzle can stop Layton's apprentice!|Kein Rätsel kann Laytons Lehrling stoppen!
luke_r09|Phew, that's a relief!|Puh, was für eine Erleichterung!
luke_r10|That was it!|Das wars!
luke_r11|That puzzle wasn't so hard!|Das Rätsel war gar nicht so schwierig!
luke_r12|I knew I could do it!|Ich wusste ich kann es schaffen!
luke_r13|I knew that was right!|Ich wusste das war richtig!
luke_r14|That's a relief!|Das ist eine Erleichterung!
luke_r15|I did it Professor!|Ich habe es geschafft, Professor!
luke_r16|I'm ready for more!|Ich bin bereit für mehr!
luke_r17|Take that, puzzle!|Nimm das, Rätsel! 
luke_r18|I'm the Professor's apprentice!|Ich bin der Lehrling des Professors!
luke_r19|Yes! I got it!|Ja! Ich habs!
luke_r20|The Professor's apprentice saves the day!|Der Lehrling des Professors rettet den Tag!
luke_r21|I knew I'd get it right!|Ich wusste ich würde es schaffen!
luke_r22|Easy peasy, Professor!|Kinderleicht, Professor!
luke_r23|That one's in the trunk!|Ein weiteres Rätsel abgehakt!
luke_r24|Luke Triton, at your service!|Luke Triton, bereit zum Dienst!
luke_r25|As you'd expect from a gentleman in training!|Wie man es von einem angehenden Gentleman erwartet!
luke_r26|,Professor, I did it!|Professor, ich habe es geschafft!
luke_r27|Oh let me do the next one too!|Oh, lass mich das nächste auch lösen!
luke_w01|I'm so embarrassed...|Ich schäme mich so...
luke_w02|Oh, I was sure I had it!|Oh, ich war sicher, dass ich die Lösung hatte!
luke_w03|I've let you down, Professor...|Ich habe Sie enttäuscht, Professor...
luke_w04|Looks like I've botched that one.|Sieht so aus, als ob ich es vermasselt hätte.
luke_w05|Oops, that wasn't right...|Ups, das war nicht richtig...
luke_w06|Well, I'm stumped.|Nun, ich bin ratlos.
luke_w07|I guess its back to the drawing board...|Wir fangen besser noch mal ganz von vorne an...
luke_w08|I don't know what to say!|Ich weiß nicht was ich sagen soll!
luke_w09|Let me think this through again...|Lass mich das nochmal durchdenken...
luke_w10|I'm just not cut out for this...|Ich bin einfach nicht dafür gemacht...
luke_w11|Some puzzles are simply impossible...|Einige Rätsel sind einfach unlösbar...
luke_w12|Let me take another look...|Lass mich noch mal einen Blick darauf werfen...
luke_w13|I'm sorry Professor...|Es tut mir Leid, Professor...
luke_w14|I'll try harder next time...|Ich strenge mich das nächste mal mehr an...
luke_w15|Ohh, I'm wrong?!|Ohh, ich liege falsch?
luke_w16|I'll get it next time!|Das nächste Mal schaffe ich es!
luke_w17|I can't believe it!|Ich kann es nicht glauben!
luke_w18|Hmm, I must have missed something...|Hmm, ich muss etwas vergessen haben...
luke_w19|Oh no, really?|Oh nein, wirklich?
luke_w20|But...where did I go wrong?|Aber... wo lag ich falsch?
luke_w21|I was sure I had it...|Ich war mir sicher ich hatte es...
luke_w22|Oh, rubbish!|Oh, Mist!
luke_w23|No way!|Unmöglich!
luke_w24|Oh well, maybe next time...|Oh, vielleicht das nächste Mal...
luke_w25|I can't look the Professor in the eye!|Ich kann dem Professor nicht ins Auge schauen!
luke_w26|I could've sworn I had it!|Ich könnte schwören ich hatte es!
luke_w27|Hey...? This can't be right!|Hey... das kann nicht richtig sein!